school,amount,sport,deal_description,is_social_media,date
sacramentostate3,199.99,Softball,Steve Madden x Postgame,1,
sacramentostate3,105.0,Baseball,Care Package,0,
sacramentostate3,500.0,Football,Red Zone Offensive Strategies,0,
sacramentostate3,10.0,Gymnastics,Signature Leotard Design,0,
sacramentostate3,35.0,Softball,otbubble player shirt,0,
sacramentostate3,50.0,Softball,CVS Giftcard,0,
sacramentostate3,23.0,Softball,postgame tee shirt post,1,
sacramentostate3,500.0,Football,QB Post Game Analysis,1,
sacramentostate3,500.0,Football,QB Post Game Analysis,1,
sacramentostate3,50.0,Men's Soccer,Insta Post,1,
sacramentostate3,150.0,Softball,Social Media post for alani nu,1,
sacramentostate3,500.0,Football,Advanced Quarterback Pre Snap Reads 1.0,0,
sacramentostate3,500.0,Football,Advanced Quarterback Pre Snap Reads 1.0,0,
sacramentostate3,500.0,Football,Advanced Quarterback Pre Snap Reads 1.0,0,
sacramentostate3,30.0,Softball,Social Media Post,1,
sacramentostate3,100.0,Softball,100 bonues,0,
sacramentostate3,130.0,Softball,instagram/post reel,1,
sacramentostate3,80.0,Football,Chiropractic Service,0,
sacramentostate3,500.0,Football,Football Offense 101,0,
sacramentostate3,500.0,Football,Football Offense 101,0,
sacramentostate3,1000.0,Football,Football Offense 101,0,
sacramentostate1,1000.0,Other,	Social Media,1,
sacramentostate1,1200.0,Other,	Social Media,1,
sacramentostate1,100.0,Other,	Social Media,1,
sacramentostate1,110.01,Other,	Social Media,1,
sacramentostate1,20.0,Other,	Social Media,1,
sacramentostate1,110.0,Other,	Social Media,1,
sacramentostate1,125.0,Other,	Commercial/Radio Spot,0,
sacramentostate1,150.0,Other,	Social Media,1,
sacramentostate1,50.0,Other,	Social Media,1,
sacramentostate1,50.0,Other,	Social Media,1,
sacramentostate1,10.0,Other,	Social Media,1,
sacramentostate1,1500.0,Other,	Social Media,1,
sacramentostate1,10.0,Other,	Social Media,1,
sacramentostate1,50.0,Other,	Social Media,1,
sacramentostate1,50.0,Other,	Social Media,1,
sacramentostate1,100.0,Other,	Commercial/Radio Spot,0,
sacramentostate1,50.0,Other,	Social Media,1,
sacramentostate1,40.0,Other,	Social Media,1,
sacramentostate1,150.0,Other,	Social Media,1,
sacramentostate1,100.0,Other,	Social Media,1,
sacramentostate1,50.0,Other,	Social Media,1,
sacramentostate1,50.0,Other,	Social Media,1,
sacramentostate1,40.0,Other,	Social Media,1,
sacramentostate1,1000.0,Other,	Social Media,1,
sacramentostate1,50.0,Other,	Social Media,1,
sacramentostate1,35.0,Other,	Social Media,1,
sacramentostate1,250.0,Other,	Social Media,1,
sacramentostate1,150.0,Other,	Social Media,1,
sacramentostate1,100.0,Other,	Social Media,1,
sacramentostate1,50.0,Other,	Social Media,1,
ucdavis,300.0,Volleyball,Photo shoot/social media,1,
ucdavis,500.0,Gymnastics,Social media posts in exchange for commission on sales.,1,
